,Bottom 40%,Next 40%,Top 1%,Top 10%,Top 20%,Top 5%
1926-12-31,8.71000005,28.48,21.39,47.170001,62.46000110000001,37.180001000000004
1927-12-31,8.88000006,28.970000029999998,20.479999,46.520001,61.9200011,36.379999000000005
1928-12-31,8.680000029999999,28.359999990000002,21.5,47.670001,62.610001000000004,37.349999
1929-12-31,8.91000002,29.039999979999997,21.240000000000002,46.360001000000004,61.670001,36.649999
1930-12-31,9.079999999999998,29.640000070000006,18.25,45.22,61.1900001,34.110001000000004
1931-12-31,9.070000019999998,29.540000090000003,15.93,44.870000999999995,61.25000119999999,31.95
1932-12-31,8.71000005,28.500000009999997,15.790001,46.619999,62.679998999999995,33.01
1933-12-31,8.70000005,28.409999990000003,17.290001,46.77,62.73,34.220000999999996
1934-12-31,8.63000002,28.050000070000003,17.37,47.850001,63.140001,36.520001
1935-12-31,9.070000019999998,29.460000200000003,17.88,47.150001,61.530001,35.429999
1936-12-31,9.000000049999999,28.160000070000002,19.78,47.670001,62.7600011,36.179999
1937-12-31,9.230000050000001,28.900000079999998,19.48,46.410000000000004,61.780000099999995,35.170001
1938-12-31,9.230000050000001,28.86000008,17.49,46.200001,61.67000110000001,33.759999
1939-12-31,8.99000005,28.1200001,18.799999,47.670001,62.710000900000004,35.350001
1940-12-31,9.110000030000002,28.569999940000002,20.14,47.819999,62.42999890000001,36.1
1941-12-31,9.53000003,29.86999998,21.269999000000002,46.340001,61.1200012,35.949999
1942-12-31,12.199999989999998,32.17000006,20.460001,41.819999,56.349999100000005,33.140001000000005
1943-12-31,12.860000020000001,33.88000008,18.889999,38.699999,53.8999989,30.89
1944-12-31,13.23999996,34.88000007000001,15.880001,36.230001,51.9100011,27.700001
1945-12-31,8.96000001,39.11000003,14.87,35.63,51.72,27.160001
1946-12-31,10.14999999,37.37000005,14.719999999999999,37.130001,52.38000110000001,28.449999999999996
1947-12-31,10.189999929999999,37.67999998,15.539998999999998,37.149999,52.22999900000001,28.88
1948-12-31,10.530000119999999,36.27,16.82,39.050001,53.330001,30.39
1949-12-31,10.29000002,36.71000001,16.189999999999998,38.47,53.14,29.449999
1950-12-31,10.710000090000001,36.150000049999996,17.290001,39.269999,53.4299989,30.48
1951-12-31,11.43000004,36.70999996,16.599998999999997,38.159999,52.33999899999999,29.539999
1952-12-31,11.89000007,37.240000020000004,15.539998999999998,36.880001,51.26000080000001,28.209999000000003
1953-12-31,12.07000004,37.91999998,14.69,35.929999,50.439999,27.129998999999998
1954-12-31,11.55999996,37.72999999,14.64,36.26,51.070000199999996,27.250001
1955-12-31,11.79000005,37.18000011,15.479999999999999,37.07,51.56000009999999,28.110000000000003
1956-12-31,12.09000003,37.5900001,14.64,36.17,50.7400001,27.26
1957-12-31,11.970000090000003,37.750000019999995,14.330000000000002,36.090001,50.620001,27.189999999999998
1958-12-31,11.280000059999999,38.1000001,13.450000000000001,35.92,50.8800002,26.589999
1959-12-31,11.04000001,37.97000003,14.2,36.51,51.33000009999999,27.3
1960-12-31,11.03000007,38.30000003000001,13.530000000000001,35.85,50.8700001,26.419999999999998
1961-12-31,10.550000070000001,38.47000011,13.370000000000001,36.019999000000006,51.22999900000001,26.539998999999998
1962-12-31,12.540000130000001,36.11999997,13.62,36.860001,51.3600011,27.139999999999997
1963-12-31,12.13000007,36.025000004999995,13.81,37.3250005,51.845000549999995,27.520000500000002
1964-12-31,11.720000009999998,35.930000039999996,14.000000000000002,37.79,52.33,27.900001000000003
1965-12-31,12.080000029999999,36.010000004999995,13.830000000000002,37.444999499999994,51.884999449999995,27.625000500000002
1966-12-31,12.44000005,36.089999969999994,13.66,37.099999,51.43999889999999,27.35
1967-12-31,13.68000003,35.91999999,13.11,36.109998999999995,50.379998900000004,26.480000999999998
1968-12-31,13.520000079999999,35.88000006,13.429999,36.309999,50.609998899999994,26.69
1969-12-31,14.000000100000001,36.65999996,12.389999999999999,34.810001,49.320001100000006,25.170001
1970-12-31,13.80000011,37.01999996,11.459999999999999,34.400001,49.1900008,24.48
1971-12-31,13.26999999,36.859999970000004,11.84,34.999998999999995,49.869999,25.069999999999997
1972-12-31,13.06999995,36.65999998,11.85,35.31,50.2600002,25.25
1973-12-31,13.26999999,36.360000160000006,11.72,35.620001,50.390001,25.52
1974-12-31,13.65000008,36.75000005,11.18,34.630001,49.6000012,24.55
1975-12-31,13.210000050000001,36.72000013,11.12,34.949999999999996,50.1099998,24.66
1976-12-31,13.260000089999998,36.71000009000001,11.03,34.900001,50.02000090000001,24.58
1977-12-31,13.05,36.51999999,11.37,35.339999,50.4099991,25.060001
1978-12-31,12.99000001,36.64999993,11.129999999999999,35.15,50.369999799999995,24.779999
1979-12-31,13.190000060000001,36.529999950000004,11.68,35.319999,50.279999200000006,25.139999000000003
1980-12-31,12.93999998,37.079999990000005,11.18,34.689999,49.9699988,24.420001
1981-12-31,12.630000019999999,36.970000150000004,11.459999999999999,35.100001,50.400000999999996,24.770001
1982-12-31,12.190000060000001,37.040000049999996,11.64,35.22,50.7600002,24.869999
1983-12-31,11.570000049999999,36.90000013,11.95,35.820001000000005,51.5200009,25.279998999999997
1984-12-31,11.36000003,36.26000001,12.870000000000001,36.980000000000004,52.42000010000001,26.480000999999998
1985-12-31,11.35000001,36.24000005,13.089999999999998,37.099999,52.5599991,26.6
1986-12-31,11.129999960000001,36.49999999,12.590000000000002,36.78,52.400000000000006,26.179999
1987-12-31,10.83000003,35.93000008,13.56,37.810001,53.2300012,27.379998999999998
1988-12-31,10.59000006,35.12000007,15.260001,39.250001,54.300001099999996,29.010001000000003
1989-12-31,10.660000060000002,35.23000005,14.760000000000002,38.879999999999995,54.1099998,28.54
1990-12-31,10.53000003,35.33000006,14.830001000000001,38.909999,54.1599988,28.560001
1991-12-31,10.34000004,35.380000089999996,14.180000000000001,38.820001,54.2700011,28.310001
1992-12-31,9.69,34.909999920000004,15.350000999999999,40.099999,55.4399992,29.629999
1993-12-31,9.72000002,35.01999995,14.95,39.85,55.2800001,29.29
1994-12-31,9.73000006,34.790000049999996,14.920001,40.079999,55.4899991,29.409999
1995-12-31,9.490000049999999,34.3099999,15.479999999999999,40.830000999999996,56.230000999999994,30.160000999999998
1996-12-31,9.32000002,33.59999984,16.28,41.83,57.0599999,31.200001
1997-12-31,9.190000060000001,33.21000017,16.940001,42.53,57.5899999,31.940001000000002
1998-12-31,9.24000002,33.00000012,17.150000000000002,42.8,57.7799999,32.229999
1999-12-31,9.16000006,32.48000014,17.839999000000002,43.5,58.3600001,32.969999
2000-12-31,9.12000005,32.21000005,18.39,43.959998999999996,58.669999100000005,33.450001
2001-12-31,9.31000002,32.84999994,17.49,42.899999,57.8299989,32.33
2002-12-31,9.32000005,33.03999999,17.110001,42.649999,57.66999909999999,32.030001000000006
2003-12-31,9.08000003,33.01000004,17.32,42.8,57.9499999,32.120000999999995
2004-12-31,8.82999998,32.37000009,18.33,43.869999,58.779999,33.289998999999995
2005-12-31,8.62000002,31.6300001,19.43,44.980000999999994,59.75000109999999,34.470001
2006-12-31,8.39000002,30.990000020000004,20.13,46.020001,60.59000089999999,35.47
2007-12-31,8.670000009999999,31.01000008,19.89,45.69,60.3000001,35.159999
2008-12-31,8.64000003,31.410000059999998,19.419998999999997,45.109999,59.959998999999996,34.509999
2009-12-31,8.43000003,32.03999991999999,18.47,44.330001,59.570001000000005,33.489999
2010-12-31,8.080000039999998,31.12999999,19.88,45.770001,60.74000109999999,35.049999
2011-12-31,7.8500000299999995,31.11000009,19.679999000000002,45.96,61.059999899999994,35.089999
2012-12-31,7.6800000399999995,30.330000010000003,20.909999000000003,47.18,61.959999999999994,36.42
2013-12-31,7.85000005,30.52000016,19.61,46.550000000000004,61.60000000000001,35.530001
2014-12-31,7.65000002,30.079999970000003,20.349999999999998,47.36,62.29,36.410000999999994
2015-12-31,7.64000004,30.07999999,20.190001,47.310001,62.250001,36.309999
2016-12-31,7.630000030000001,30.520000139999997,19.64,46.709999,61.839999,35.600001
2017-12-31,7.81000003,30.550000100000002,20.51,46.759999,61.649999,35.969999
2018-12-31,7.78000003,30.53000012,20.53,46.779999,61.65999909999999,35.980001
2019-12-31,7.790000040000001,30.540000109999998,20.52,46.779999,61.669999,35.980001
